date,ttt_group,clicks_A,clicks_B,clicks_C,cost_A,cost_B,cost_C,bookings_A,bookings_B,bookings_C,booking_rev_A,booking_rev_B,booking_rev_C
2019-12-02,long,1949,5608,281959,859,2819,231317,43,98,6187,6853,15206,930733
2019-12-09,short,589356,347176,144735,569086,313777,117259,28346,13358,6961,4262417,2011347,1110101
2019-12-09,medium,141055,8507,88614,120373,5111,71352,5990,289,3763,918966,45165,639342
2019-12-09,long,2630,5876,304188,1190,2940,249296,59,106,6882,9141,16019,1055498
2019-12-16,short,733477,430599,165911,707888,388810,132973,35373,16613,8001,5700041,2616076,1291206
2019-12-16,medium,46015,5088,54822,36380,3055,44302,1807,160,2153,290961,25460,328086
2019-12-16,long,3962,7834,320226,1843,3968,257922,92,145,7429,13953,21937,1127870
2019-12-23,short,743274,396015,158024,729358,359190,127780,36404,15517,7740,6285779,2482793,1177994
2019-12-23,medium,50991,7070,67852,39660,4296,54693,1978,219,2632,309593,33083,427804
2019-12-23,long,4834,7386,334107,2294,3695,269194,114,140,7897,17454,22356,1285113
2019-12-30,short,131594,75280,29161,127635,68092,23428,6376,2918,1413,1051524,466861,221686
2019-12-30,medium,71525,8327,84511,56156,4997,67749,2772,258,3275,417442,42194,496956
2019-12-30,long,5453,7773,342602,2626,3912,276803,130,149,8195,20947,23108,1255200
2019-01-01,short,110658,62984,23897,107515,57033,19170,5359,2440,1157,815380,374662,173965
2019-01-01,medium,61201,8115,81676,47501,4893,65722,2373,252,3167,371986,39742,512900
2019-01-01,long,4945,7970,301992,2378,4068,242810,118,153,7231,19093,23636,1190356
2019-01-08,short,83516,49606,18759,80882,45013,15074,4028,1914,905,624390,303750,143804
2019-01-08,medium,84549,10527,103994,65951,6329,83245,3296,328,4054,540284,52480,643800
2019-01-08,long,5564,7989,306832,2699,4054,245667,134,153,7368,22797,24012,1133153
2019-01-15,short,81651,53920,19620,78763,49384,15836,3924,2073,943,596789,327656,145540
2019-01-15,medium,109015,13347,133048,85867,8086,107440,4281,419,5225,662219,67410,803038
2019-01-15,long,4973,7297,312491,2384,3670,251340,119,139,7464,18878,21464,1207338
2019-01-22,short,104077,73385,26450,99935,67453,21400,4996,2818,1270,797949,425139,192100
2019-01-22,medium,140968,15974,158932,111981,9665,128158,5578,506,6289,858543,78634,961161
2019-01-22,long,4529,7614,316988,2139,3837,254599,107,144,7478,16803,21604,1144308
2019-01-29,short,157900,94175,42422,152058,85017,34663,7580,3617,2037,1143125,569335,315137
2019-01-29,medium,176665,19198,180004,141033,11613,144036,7040,612,7173,1077101,96177,1177232
2019-01-29,long,4193,7677,322335,1955,3860,258564,97,142,7473,15486,23120,1224949
2019-02-05,short,228588,137792,57401,221522,125345,46802,10979,5295,2757,1660325,805902,427948
2019-02-05,medium,192627,21071,215942,154984,12857,176242,7722,676,8656,1221151,107225,1340092
2019-02-05,long,3584,8353,328619,1637,4241,264039,81,152,7471,12593,23000,1173186
2019-02-12,short,314579,189461,82742,302539,171019,67341,15121,7286,3977,2302079,1094821,635308
2019-02-12,medium,225415,22979,223636,181596,13915,179985,9078,740,9006,1365099,114701,1395115
2019-02-12,long,3140,7923,338015,1404,3978,271336,70,141,7534,10953,22013,1233969
2019-02-19,short,415663,252929,100041,400086,228793,80588,20003,9737,4814,3075161,1469450,740064
2019-02-19,medium,252459,24102,225964,205452,14624,181360,10207,780,9136,1637911,117382,1470678
2019-02-19,long,2916,8387,349281,1288,4227,280565,64,147,7650,9804,23953,1216245
2019-02-26,short,497212,303939,131162,479267,275488,107029,23946,11710,6317,3657432,1838668,979819
2019-02-26,medium,263416,23943,232003,214142,14423,185635,10696,778,9420,1621894,124278,1441798
2019-02-26,long,2919,8458,366134,1280,4235,293613,63,147,7934,10631,22700,1257836
2019-03-05,short,588578,345289,132614,569869,312753,106576,28362,13311,6390,4285181,2052086,982545
2019-03-05,medium,269089,24391,228825,219756,14755,183126,10978,796,9335,1768375,120564,1404944
2019-03-05,long,2781,8737,389171,1205,4370,312864,60,151,8418,9418,23429,1290483
2019-03-12,short,645383,375485,150686,622763,338606,121230,31113,14481,7264,4734159,2181132,1172516
2019-03-12,medium,257191,22910,234902,211048,13895,190586,10530,750,9618,1690805,113446,1450608
2019-03-12,long,2920,9758,414836,1272,4941,335671,63,170,9015,9475,26527,1365032
2019-03-19,short,721834,370494,155620,706262,333505,125689,34810,14294,7505,5640987,2166849,1169713
2019-03-19,medium,260345,22556,217557,214187,13668,175013,10675,740,8921,1602629,115731,1341262
2019-03-19,long,3134,9091,443930,1379,4568,362680,69,159,9735,10631,25396,1467242
2019-03-26,short,672850,463054,160178,649387,426512,129203,32458,17870,7727,5350383,3021548,1236432
2019-03-26,medium,238055,19870,223033,195281,11950,181473,9752,651,9137,1562717,100268,1408157
2019-03-26,long,4113,10423,471080,1833,5219,379800,91,185,10463,13940,27783,1718959
2019-04-02,short,750936,402717,162717,734307,364291,131428,36235,15546,7852,5700574,2453967,1189830
2019-04-02,medium,231357,21182,207133,188963,12831,166855,9441,691,8452,1500621,106274,1293666
2019-04-02,long,5096,11501,497476,2311,5774,399976,115,207,11217,17630,32056,1802579
2019-04-09,short,736925,410486,160199,717811,371637,128944,35574,15853,7733,5450585,2435701,1213613
2019-04-09,medium,211807,21246,209202,171797,12928,169422,8584,689,8478,1311914,109587,1336832
2019-04-09,long,5630,12074,520718,2590,6111,421868,129,221,11932,20210,33155,1950716
2019-04-16,short,697804,403521,154594,677996,366122,124414,33720,15599,7470,5327340,2525501,1210270
2019-04-16,medium,217441,22238,205024,175512,13498,164277,8754,716,8254,1364132,112734,1265056
2019-04-16,long,7050,13888,534939,3289,7052,428739,164,259,12471,25102,38967,2118242
2019-04-23,short,636256,353481,151796,617725,318876,123205,30741,13663,7334,4784131,2116817,1137160
2019-04-23,medium,208863,26268,231993,167355,16242,188345,8368,842,9294,1362834,127772,1476269
2019-04-23,long,7800,11851,545410,3709,5938,441023,185,225,12945,28017,35008,2011027
2019-04-30,short,542214,370080,121452,523887,340901,97331,26174,14292,5863,4154154,2201798,879982
2019-04-30,medium,247448,23870,232788,199582,14373,186330,9884,763,9299,1530179,119229,1482716
2019-04-30,long,9398,13521,543288,4547,6846,436477,227,261,13130,34658,41719,1982776
2019-05-07,short,539629,339134,118371,526458,312194,95534,26035,13089,5711,3935658,2061669,868832
2019-05-07,medium,256650,26574,269846,206023,16067,217978,10244,849,10770,1655901,128582,1653196
2019-05-07,long,10481,13692,535853,5157,6966,431173,258,269,13181,38824,42233,2086528
2019-05-14,short,559181,312601,131818,543091,282319,106868,26969,12061,6357,4249280,1837222,958691
2019-05-14,medium,292232,29761,292698,234006,17912,234426,11676,951,11695,1829591,153943,1758656
2019-05-14,long,11998,14401,519449,6017,7388,417189,300,288,12999,46473,45157,1980158
2019-05-21,short,571998,346626,121300,556797,316936,97268,27567,13364,5846,4431488,2044807,884743
2019-05-21,medium,324516,36571,322208,260334,22332,258252,12993,1171,12900,2087149,176315,2037534
2019-05-21,long,12875,11545,499922,6581,5821,403742,327,235,12711,50507,37117,1999469
2019-05-28,short,612495,377246,138600,591337,342805,111129,29501,14536,6676,4672731,2280365,1029506
2019-05-28,medium,339102,35526,376575,272216,21511,306284,13611,1141,15115,2285023,178075,2412683
2019-05-28,long,14104,12254,470159,7282,6217,376282,364,253,12133,55701,39300,2000729
2019-06-04,short,691207,431463,154232,667685,392938,123512,33289,16624,7428,5085754,2828937,1118166
2019-06-04,medium,390418,38703,383124,316170,23478,309533,15712,1246,15419,2424593,192199,2359349
2019-06-04,long,14460,10901,438436,7586,5521,352364,378,228,11474,64976,36422,1737947
2019-06-11,short,809240,465643,183066,781536,419683,146823,38980,17944,8818,6162421,2717209,1348706
2019-06-11,medium,421483,39939,401887,340451,24030,322696,17007,1289,16217,2701370,199518,2443513
2019-06-11,long,13786,8883,404551,7327,4468,327999,365,188,10723,57131,31070,1623997
2019-06-18,short,901381,539472,203093,868912,487718,162503,43433,20796,9786,6818275,3213664,1514307
2019-06-18,medium,459206,45868,399161,375143,28096,320428,18579,1485,16150,2929632,231751,2467520
2019-06-18,long,15354,8958,363680,8271,4511,290981,411,192,9738,63539,29674,1514205
2019-06-25,short,1002400,588644,223684,968268,531996,179128,48311,22696,10780,7467017,3419194,1682754
2019-06-25,medium,468467,45068,419602,380535,27320,336181,19004,1463,17022,2977864,222021,2628335
2019-06-25,long,13720,7869,326177,7427,3974,262367,369,169,8782,56601,26950,1352348
2019-07-02,short,1093582,633354,242471,1059429,573081,194584,52712,24423,11687,8054939,3949895,1881912
2019-07-02,medium,479757,46872,420016,390633,28536,336352,19510,1525,17081,3342090,245832,2578297
2019-07-02,long,11920,6686,289994,6447,3364,233731,320,144,7785,49758,22785,1218992
2019-07-09,short,1155519,706516,254427,1123067,645719,204663,55711,27251,12267,8707846,4093599,1883978
2019-07-09,medium,480117,47504,415263,392135,29056,333069,19574,1549,16930,3261956,257603,2824296
2019-07-09,long,9251,5473,258664,4948,2741,209777,245,116,6839,39189,18592,1026651
2019-07-16,short,1237312,702307,294902,1195539,632219,238184,59675,27098,14223,9388367,4141600,2254221
2019-07-16,medium,485988,42149,394142,399815,25544,315874,19876,1379,16119,3068915,214904,2426966
2019-07-16,long,7049,5314,233118,3652,2658,187039,181,109,5985,27921,17383,917667
2019-07-23,short,1275753,733738,296520,1238074,664497,239784,61546,28318,14305,9529001,4313117,2173653
2019-07-23,medium,473352,42991,369794,392528,26414,297333,19432,1412,15181,2949385,216232,2278669
2019-07-23,long,4506,5180,217059,2223,2601,173814,111,102,5340,16899,15329,839604
2019-07-30,short,1250547,765903,315040,1208434,696115,256240,60340,29565,15201,9589337,4698019,2469095
2019-07-30,medium,428685,33360,373847,354067,20024,303536,17666,1100,15406,2929324,165872,2336905
2019-07-30,long,2788,4707,209825,1309,2359,169021,65,88,4895,9786,13334,790001
2019-08-06,short,1248916,788083,290448,1209481,720514,234396,60273,30426,14017,9431249,4741985,2242957
2019-08-06,medium,406683,35927,330802,337915,22042,267860,16816,1188,13679,2657942,183030,2106176
2019-08-06,long,2349,4487,194384,1086,2249,156053,54,83,4483,8183,13712,719295
2019-08-13,short,1258465,745770,288198,1218374,676301,232066,60746,28799,13911,9309452,4324531,2204194
2019-08-13,medium,370375,26961,302273,308756,16198,245665,15359,894,12535,2324841,142295,1881318
2019-08-13,long,2382,4392,177331,1115,2220,142304,56,82,4145,8581,12407,650983
2019-08-20,short,1232385,723301,267182,1195219,656284,214050,59504,27939,12900,9115095,4329989,2011225
2019-08-20,medium,340683,24573,252488,284005,14747,202746,14152,817,10489,2266494,125907,1580190
2019-08-20,long,2259,3607,165255,1077,1824,134775,54,69,3934,8180,10825,591068
2019-08-27,short,1198827,658372,252784,1169185,595747,202944,57913,25444,12211,8788638,3900013,1973865
2019-08-27,medium,302410,22205,210309,253346,13421,168368,12575,739,8745,1938802,112984,1469480
2019-08-27,long,2929,3725,154184,1430,1874,123511,71,72,3750,11243,11255,567206
2019-09-03,short,1076225,595683,265748,1044648,536996,216575,52019,23034,12845,8439030,3619738,1965586
2019-09-03,medium,249503,19243,190185,208200,11657,153407,10385,641,7916,1587957,98124,1291051
2019-09-03,long,3171,3792,149494,1582,1935,120732,79,75,3715,12871,11307,576582
2019-09-10,short,911213,587864,211454,881801,538560,170477,44056,22738,10223,6792940,3567721,1544159
2019-09-10,medium,223428,15830,153714,187544,9544,123134,9309,528,6404,1440800,84980,982609
2019-09-10,long,3636,3458,148662,1844,1743,119889,92,70,3761,15719,10708,591906
2019-09-17,short,815284,470842,193043,791298,426680,156487,39413,18210,9332,6490510,2797477,1447899
2019-09-17,medium,185513,14133,134871,154604,8537,108008,7726,471,5617,1167159,71767,889337
2019-09-17,long,4130,3709,152040,2118,1877,122380,105,76,3882,16273,12090,598068
2019-09-24,short,706975,411940,159923,684199,372641,128529,34184,15935,7733,5250311,2480241,1205198
2019-09-24,medium,153436,11252,122057,128743,6811,99527,6368,374,5066,1011733,57921,805197
2019-09-24,long,4273,4036,157790,2180,2044,126386,109,82,4015,17008,12456,609696
2019-10-01,short,603875,362924,135948,584844,329813,109275,29203,14041,6574,4392128,2242667,1067654
2019-10-01,medium,134092,10660,107593,110643,6409,86368,5517,351,4427,875852,53768,680752
2019-10-01,long,4034,3867,164733,2031,1936,131852,101,77,4122,15395,11781,646434
2019-10-08,short,507208,315618,109213,492092,288582,87452,24527,12210,5281,3738059,1836983,861709
2019-10-08,medium,108888,10000,113449,88531,6032,92713,4416,324,4601,691743,50254,694534
2019-10-08,long,3205,3917,169762,1567,1963,136296,78,76,4120,11788,12295,626218
2019-10-15,short,426666,270378,97581,413971,247793,78733,20638,10463,4720,3185377,1633115,746233
2019-10-15,medium,109121,12043,109517,87390,7322,87747,4358,385,4374,656288,61421,656407
2019-10-15,long,2093,3808,170130,978,1917,137746,49,71,3945,7662,11451,603118
2019-10-22,short,367261,215147,82615,355875,194997,66434,17765,8326,3996,2999314,1299292,615373
2019-10-22,medium,108877,11928,129519,86380,7178,105011,4299,377,5114,668660,56733,798649
2019-10-22,long,1264,3737,162127,553,1873,130173,27,65,3522,4166,10405,529532
2019-10-29,short,297602,185769,71145,287897,169430,57552,14389,7186,3440,2189273,1107106,530520
2019-10-29,medium,122587,14487,156092,96440,8727,126564,4814,455,6130,763535,68776,955677
2019-10-29,long,483,3500,143465,190,1768,115290,10,55,2828,1510,8490,437935
2019-11-05,short,262847,159909,55797,255390,146014,44666,12693,6178,2694,1912416,967780,419861
2019-11-05,medium,149468,15939,146254,120599,9722,117686,5999,512,5870,1018187,85291,920190
2019-11-05,long,530,3725,156787,209,1877,126074,10,58,3073,1591,8767,486960
2019-11-12,short,250465,148365,53751,243261,134968,43069,12071,5720,2591,1878473,906353,396109
2019-11-12,medium,162862,13694,146511,134336,8289,119261,6706,451,6033,1077114,74483,931794
2019-11-12,long,693,4156,179915,280,2101,145637,14,67,3612,2112,10162,545187
2019-11-19,short,261020,161396,68779,251861,146650,56175,12558,6212,3309,1912335,937759,508329
2019-11-19,medium,181390,12373,132594,153779,7499,108093,7644,417,5587,1166896,68880,908071
2019-11-19,long,986,4717,204748,410,2384,165800,20,78,4232,3128,11864,656574
2019-11-26,short,324024,193397,84457,312488,174860,68849,15580,7439,4061,2507738,1139318,631313
2019-11-26,medium,188985,11039,113480,162359,6650,91471,8103,379,4865,1231509,58677,740773
2019-11-26,long,1476,5738,228542,631,2907,183525,31,98,4876,5093,14916,740822
2019-12-03,short,413358,269663,89960,400162,247482,71974,19877,10374,4326,3119481,1612053,685400
2019-12-03,medium,168981,9117,97579,146439,5485,78952,7288,315,4209,1099298,47705,641139
2019-12-03,long,1930,5591,251029,853,2821,203800,43,99,5534,6761,15123,864325
2019-12-10,short,521991,337310,127731,502898,307710,103203,25107,12979,6144,3796724,1957889,975739
2019-12-10,medium,115034,7390,72356,97523,4445,57888,4854,249,3053,759415,39286,503202
2019-12-10,long,2847,6564,269165,1300,3327,217035,65,119,6113,9759,18075,918605
2019-12-17,short,629170,407204,144770,612326,375325,117255,30417,15749,6999,4593863,2471319,1053586
2019-12-17,medium,39907,4733,50220,31498,2862,40793,1563,148,1967,253193,24725,313248
2019-12-17,long,3698,7035,284325,1728,3563,228653,86,131,6617,12972,20084,1006733
2019-12-24,short,638388,352096,125178,629705,322412,100725,31319,13819,6141,4764901,2074068,931089
2019-12-24,medium,47517,6260,61254,36880,3771,49075,1842,194,2374,303708,32195,380588
2019-12-24,long,4030,6158,296820,1912,3081,241034,95,117,7031,14272,18245,1101402
2019-12-31,short,110805,61766,24968,107663,55787,20137,5366,2393,1209,835486,382081,181509
2019-12-31,medium,60565,7725,82702,47066,4641,66821,2348,240,3207,373755,36458,520348
2019-12-31,long,4392,6938,303577,2105,3521,247070,105,133,7269,16539,20517,1095822
2019-01-02,short,99122,54777,21459,96726,49634,17295,4798,2121,1039,720475,328767,164653
2019-01-02,medium,59130,8040,79556,45954,4869,64165,2294,250,3086,360364,39281,474731
2019-01-02,long,4202,6524,284020,2022,3317,231466,101,125,6807,15838,18765,1138882
2019-01-09,short,77543,43870,18064,74990,39510,14561,3738,1692,871,628046,256751,132445
2019-01-09,medium,80297,10744,101883,62690,6523,81946,3134,335,3976,473930,51033,614953
2019-01-09,long,4593,6443,288611,2207,3229,232682,110,124,6928,17278,18791,1044994
2019-01-16,short,80927,49482,18414,78044,44873,14758,3888,1902,885,657401,294629,133507
2019-01-16,medium,105237,13263,127804,82902,8065,103155,4138,417,5025,648234,66157,798422
2019-01-16,long,4348,6178,293151,2082,3091,237638,104,118,6992,16427,18167,1058008
2019-01-23,short,111857,63839,24383,108355,57653,19524,5369,2451,1170,830145,393274,180074
2019-01-23,medium,140778,15872,146299,112350,9642,117319,5577,503,5795,851309,76135,878859
2019-01-23,long,4138,6912,296764,1950,3472,238508,97,130,6985,14896,19568,1076714
2019-01-30,short,158230,93940,37778,152165,84639,30374,7597,3608,1814,1163598,549168,278066
2019-01-30,medium,165466,17607,175410,132240,10634,141213,6600,562,6996,1048586,90260,1079183
2019-01-30,long,3659,7464,301557,1694,3778,242390,85,138,6973,12995,21838,1141012
2019-02-06,short,215679,146457,53400,207596,134310,43169,10360,5628,2565,1667416,903480,396250
2019-02-06,medium,200324,19293,187717,162071,11650,150642,8036,619,7530,1208159,95743,1146653
2019-02-06,long,3335,7680,307831,1517,3877,246495,76,139,6978,11658,21136,1136609
2019-02-13,short,303999,198265,69106,292776,181011,55304,14615,7625,3322,2198560,1172323,520541
2019-02-13,medium,212675,22406,210223,171454,13634,169231,8570,722,8471,1326552,109726,1307088
2019-02-13,long,2754,7678,316723,1228,3891,255547,61,137,7040,9259,21783,1109452
2019-02-20,short,403617,241422,95876,389385,218418,77284,19426,9295,4614,3153263,1544256,708780
2019-02-20,medium,215434,20928,235782,174311,12652,192940,8715,677,9538,1321798,107366,1467283
2019-02-20,long,2534,7624,328226,1109,3831,263941,55,133,7174,8982,20900,1106225
2019-02-27,short,483328,280871,125527,465837,252948,102221,23280,10823,6046,3494700,1723773,928785
2019-02-27,medium,230685,20179,234979,187897,12121,191836,9373,656,9548,1529044,102798,1537676
2019-02-27,long,2334,7816,344990,1011,3938,279075,51,135,7470,7919,20968,1209816
2019-03-06,short,556902,330116,124027,538714,299128,99440,26838,12727,5977,4323807,2023369,929313
2019-03-06,medium,245829,20593,220602,201538,12383,178425,10035,673,9005,1607072,101304,1353336
2019-03-06,long,2799,8902,365691,1219,4479,292738,61,154,7913,9301,24081,1245809
2019-03-13,short,611696,358288,135281,593845,325336,108758,29490,13819,6522,4503897,2089108,1069589
2019-03-13,medium,247531,22785,208771,203768,13921,168241,10138,747,8551,1659666,123353,1310697
2019-03-13,long,3132,9530,390098,1373,4801,312575,68,166,8486,10656,25818,1332477
2019-03-20,short,637312,391017,144446,614897,354916,115764,30736,15086,6966,4776173,2454295,1064919
2019-03-20,medium,238746,20689,205297,195890,12504,165296,9790,679,8418,1537557,104283,1281750
2019-03-20,long,2990,9291,417359,1317,4716,340874,66,163,9168,10826,24541,1444252
2019-03-27,short,668122,394980,150861,648321,358901,121542,32231,15244,7278,5111918,2508678,1135903
2019-03-27,medium,226408,19970,199685,187659,12219,162932,9272,654,8177,1425778,100578,1316067
2019-03-27,long,3582,10549,443031,1599,5390,361158,80,188,9860,12856,28564,1641041
2019-04-03,short,654760,403642,170817,639149,370899,140964,31596,15582,8243,4743983,2484839,1261509
2019-04-03,medium,202571,17297,206416,165798,10409,169342,8259,564,8416,1278374,84798,1384895
2019-04-03,long,5106,11099,467148,2323,5564,373749,115,201,10557,17680,31944,1621948
2019-04-10,short,685769,376139,154344,665342,338542,124278,33109,14528,7452,4980814,2276614,1129095
2019-04-10,medium,188013,17078,206638,152277,10249,169349,7612,553,8366,1177551,86124,1328288
2019-04-10,long,5394,12101,487801,2482,6159,394130,124,222,11205,19432,34939,1711831
2019-04-17,short,632267,385910,143380,615062,352942,115866,30555,14920,6929,5135545,2340587,1078835
2019-04-17,medium,198499,22220,196319,160100,13630,158123,7985,715,7898,1254622,108803,1196416
2019-04-17,long,6503,12324,501699,3060,6281,406347,152,230,11725,23437,35341,1798738
2019-04-24,short,568638,347046,130662,550857,316071,105321,27470,13412,6312,4164057,2039144,990381
2019-04-24,medium,207832,20462,211886,167049,12309,170719,8322,655,8484,1311829,103684,1279453
2019-04-24,long,7937,11965,508076,3797,6026,408824,189,228,12090,30321,34300,1922642
2019-05-01,short,523035,326763,106721,511455,301282,85554,25246,12618,5151,4068765,1917178,875987
2019-05-01,medium,222569,22205,231565,178935,13383,187091,8888,709,9248,1426927,115025,1496266
2019-05-01,long,8838,11930,507304,4296,6021,409146,214,231,12291,34501,36156,1906188
2019-05-08,short,496897,305374,127292,479477,277271,103602,23972,11786,6141,3719162,1875481,926512
2019-05-08,medium,249502,26401,247823,200115,15992,198601,9959,843,9892,1511534,137327,1518396
2019-05-08,long,10009,10951,500298,4957,5484,403993,247,216,12337,40753,32907,2021377
2019-05-15,short,502744,309041,128094,485045,280566,104168,24245,11923,6177,3751897,1797588,986377
2019-05-15,medium,269329,26748,286557,216459,16107,232097,10764,855,11452,1747659,129322,1800318
2019-05-15,long,11123,10569,485296,5601,5288,391777,279,212,12173,42902,32526,1847180
2019-05-22,short,527766,332722,117717,510094,303560,94319,25432,12827,5673,3976064,1972303,887649
2019-05-22,medium,288618,29238,329138,231345,17603,268193,11559,937,13182,1774357,142145,2116841
2019-05-22,long,11921,9393,464694,6148,4702,378834,304,191,11841,46517,29665,1777306
2019-05-29,short,591409,336686,141984,571373,303161,114766,28485,12973,6839,4470050,1980343,1036225
2019-05-29,medium,339419,33054,337280,273347,19896,271410,13629,1062,13543,2045173,166844,2314432
2019-05-29,long,13183,10824,435300,6823,5465,348791,341,224,11256,53794,33990,1701738
2019-06-05,short,665153,399780,149735,642676,362455,120073,32034,15403,7211,4997094,2471206,1126627
2019-06-05,medium,368472,40177,356857,296757,24529,286255,14835,1294,14367,2336983,197441,2390870
2019-06-05,long,14117,9345,404738,7437,4676,324339,370,196,10612,56366,30425,1683018
2019-06-12,short,753585,455030,177229,730898,414360,143445,36301,17535,8537,5686411,2707239,1295356
2019-06-12,medium,373188,38467,400115,301611,23402,326202,15064,1242,16151,2476776,214199,2425393
2019-06-12,long,13047,8014,372566,6934,4007,301046,346,170,9891,56103,25630,1585957
2019-06-19,short,845605,521425,191250,821732,476988,154336,40747,20101,9216,6270740,3046321,1399421
2019-06-19,medium,421932,39345,387306,342347,23731,310907,17078,1274,15676,2568854,213501,2352003
2019-06-19,long,14043,7944,334793,7571,3988,268310,376,170,8975,58364,26215,1411072
2019-06-26,short,952591,546370,215891,922287,493479,173624,45911,21066,10405,6905077,3286647,1562262
2019-06-26,medium,443321,40660,389680,360925,24557,312180,17991,1320,15814,2875450,220626,2509524
2019-06-26,long,12201,6520,300527,6644,3283,244243,329,140,8093,54589,21386,1223484
2019-07-03,short,972523,654119,231902,940007,601669,187375,46878,25224,11178,7104857,3784710,1727061
2019-07-03,medium,440188,38729,405133,358429,23273,326481,17907,1260,16481,2728058,193839,2492422
2019-07-03,long,11047,5989,265988,5966,2996,213814,296,128,7131,46749,19629,1106221
2019-07-10,short,1118859,618874,255529,1092400,561128,207434,53946,23871,12320,8260707,3797464,2001659
2019-07-10,medium,434076,38403,405706,355268,23212,329255,17704,1253,16547,2697486,195195,2552996
2019-07-10,long,8354,5412,237199,4415,2709,190445,220,114,6250,34362,17176,939162
2019-07-17,short,1127824,675757,294409,1089745,612446,240505,54397,26074,14200,8686360,3930444,2172287
2019-07-17,medium,451908,35931,369014,372796,21599,296800,18491,1176,15099,2860341,188005,2345788
2019-07-17,long,5537,4821,215715,2831,2422,174322,141,98,5509,22075,15285,878718
2019-07-24,short,1177542,717518,262809,1137640,651581,210500,56809,27693,12679,8582430,4254139,1935778
2019-07-24,medium,412181,35325,373606,338890,21364,303424,16930,1161,15346,2720463,182436,2419910
2019-07-24,long,3608,4385,201865,1772,2206,163931,88,86,4931,14345,13222,754802
2019-07-31,short,1201508,710365,265303,1161429,643009,212329,57975,27421,12801,9060364,4368608,1971010
2019-07-31,medium,404117,32273,336143,334807,19495,272153,16662,1065,13859,2588744,167316,2116594
2019-07-31,long,2237,4420,195586,1037,2230,158501,52,82,4526,7946,13117,702042
2019-08-07,short,1175179,736889,257385,1140016,674328,206514,56716,28451,12422,9521196,4294740,1882251
2019-08-07,medium,386047,30239,296318,320028,18233,237654,15970,1001,12258,2451065,150224,1956795
2019-08-07,long,2241,4225,178795,1037,2117,143052,52,78,4130,7966,12229,638413
2019-08-14,short,1171921,656354,304129,1137320,592451,249352,56571,25347,14681,9208243,3874900,2333870
2019-08-14,medium,349765,26422,266247,290326,15880,213591,14509,877,11045,2289683,140156,1766311
2019-08-14,long,2212,3755,163909,1039,1884,131852,52,70,3840,8100,10678,586780
2019-08-21,short,1152190,637687,272482,1121427,576421,221468,55635,24633,13157,8656244,3903195,2135119
2019-08-21,medium,285850,25389,254127,237963,15616,208467,11876,844,10558,1824730,132517,1591270
2019-08-21,long,2325,3399,152312,1118,1714,123509,56,65,3637,8548,10642,588104
2019-08-28,short,1093698,617035,239554,1058782,556090,191812,52839,23848,11573,7950539,3752614,1856654
2019-08-28,medium,263141,19684,205790,219074,11851,166143,10943,655,8558,1774376,101545,1366231
2019-08-28,long,2908,3428,142840,1430,1721,114308,71,67,3485,11314,10238,538617
2019-09-04,short,996977,564484,218841,966605,509725,175539,48192,21829,10578,7954785,3437307,1664443
2019-09-04,medium,225535,16710,176721,188058,10064,142931,9389,556,7357,1538934,83826,1120237
2019-09-04,long,2992,2956,139981,1503,1482,113703,75,59,3489,11510,9506,530072
2019-09-11,short,874858,494205,195730,847734,445888,157288,42298,19115,9463,6675609,2947540,1495262
2019-09-11,medium,201618,14641,142386,169157,8850,114379,8401,488,5933,1279294,73721,1002590
2019-09-11,long,3512,3156,138992,1781,1579,111642,89,64,3523,13562,10478,540365
2019-09-18,short,728651,441260,181725,705902,401505,147997,35225,17065,8785,5455141,2626098,1341101
2019-09-18,medium,169757,12511,122800,141787,7543,98498,7068,417,5113,1159271,64714,780332
2019-09-18,long,3639,3109,143079,1862,1560,115848,93,64,3654,14792,9613,552103
2019-09-25,short,645604,374227,150085,626580,339267,121379,31218,14477,7257,5126915,2189470,1113183
2019-09-25,medium,131143,9931,121263,109096,5984,99894,5438,329,5028,826369,51129,763058
2019-09-25,long,3741,3550,148812,1910,1800,120393,95,72,3781,15524,11492,587036
2019-10-02,short,560463,314587,129975,545208,284712,105327,27103,12170,6285,4241748,1845841,1005283
2019-10-02,medium,122961,9742,99235,101358,5849,79638,5050,320,4076,784110,48066,659491
2019-10-02,long,3526,3491,154890,1772,1752,124905,88,70,3862,14272,11460,585623
2019-10-09,short,470278,275663,104242,456311,250200,83784,22742,10664,5041,3682525,1693849,765728
2019-10-09,medium,104427,9615,101463,84603,5781,81906,4226,311,4106,653234,47481,648324
2019-10-09,long,2713,3871,158722,1312,1957,127650,65,75,3830,9903,11775,638357
2019-10-16,short,388322,241100,94403,376249,220093,76647,18784,9330,4566,2947510,1475447,685169
2019-10-16,medium,100403,10614,105632,80653,6438,85393,4002,338,4210,607998,51004,645030
2019-10-16,long,1686,3441,158556,777,1733,128922,39,63,3647,6459,9673,575943
2019-10-23,short,338785,186959,78782,329514,168820,63854,16388,7235,3811,2632382,1177355,615144
2019-10-23,medium,106549,12674,118774,84467,7700,95445,4202,400,4684,649549,63578,744742
2019-10-23,long,993,3608,149637,428,1827,120677,21,62,3213,3188,9620,531564
2019-10-30,short,279383,161169,64558,271197,146050,52180,13507,6233,3121,2158145,1019584,495224
2019-10-30,medium,127736,14572,138836,101328,8812,111286,5014,458,5450,764680,72969,829929
